Player 1,Player 2,R1,R2,S1,S2
Nikolay_Davydenko,Juan_Martin_Del_Potro,0.38596491228070173,0.22807017543859648,0.7719298245614035,0.6140350877192983
Roger_Federer,Nikolay_Davydenko,0.32222222222222224,0.3246753246753247,0.6753246753246753,0.6777777777777778
Robin_Soderling,Juan_Martin_Del_Potro,0.2653061224489796,0.32038834951456313,0.6796116504854369,0.7346938775510204
Rafael_Nadal,Novak_Djokovic,0.3424657534246575,0.4225352112676056,0.5774647887323944,0.6575342465753424
Roger_Federer,Juan_Martin_Del_Potro,0.29896907216494845,0.3048780487804878,0.6951219512195121,0.7010309278350515
Nikolay_Davydenko,Rafael_Nadal,0.46551724137931033,0.38571428571428573,0.6142857142857143,0.5344827586206896
Fernando_Verdasco,Juan_Martin_Del_Potro,0.2967032967032967,0.34,0.66,0.7032967032967034
Robin_Soderling,Rafael_Nadal,0.41379310344827586,0.36231884057971014,0.6376811594202898,0.5862068965517241
Robin_Soderling,Novak_Djokovic,0.4225352112676056,0.26666666666666666,0.7333333333333333,0.5774647887323944
Robin_Soderling,Nikolay_Davydenko,0.2235294117647059,0.29213483146067415,0.7078651685393258,0.7764705882352941
Andy_Murray,Roger_Federer,0.31343283582089554,0.46534653465346537,0.5346534653465347,0.6865671641791045
Andy_Murray,Juan_Martin_Del_Potro,0.4659090909090909,0.40476190476190477,0.5952380952380952,0.5340909090909091
Novak_Djokovic,Gael_Monfils,0.4056603773584906,0.32653061224489793,0.673469387755102,0.5943396226415094
Radek_Stepanek,Gael_Monfils,0.4270833333333333,0.4326923076923077,0.5673076923076923,0.5729166666666666
Novak_Djokovic,Rafael_Nadal,0.47368421052631576,0.26,0.74,0.5263157894736842
Juan_Martin_Del_Potro,Fernando_Gonzalez,0.36082474226804123,0.3898305084745763,0.6101694915254238,0.6391752577319587
Marat_Safin,Juan_Martin_Del_Potro,0.2345679012345679,0.3431372549019608,0.6568627450980392,0.7654320987654321
Benjamin_Becker,Nikolay_Davydenko,0.2916666666666667,0.5588235294117647,0.4411764705882353,0.7083333333333334
Andy_Murray,Mikhail_Youzhny,0.4878048780487805,0.2857142857142857,0.7142857142857143,0.5121951219512195
Roger_Federer,Novak_Djokovic,0.3469387755102041,0.38372093023255816,0.6162790697674418,0.6530612244897959
Nikolay_Davydenko,Mikhail_Youzhny,0.42528735632183906,0.4329896907216495,0.5670103092783505,0.5747126436781609
Roger_Federer,Evgeny_Korolev,0.3953488372093023,0.2727272727272727,0.7272727272727273,0.6046511627906976
Mikhail_Youzhny,Janko_Tipsarevic,0.4396551724137931,0.24358974358974358,0.7564102564102564,0.5603448275862069
Novak_Djokovic,Nikolay_Davydenko,0.32323232323232326,0.36666666666666664,0.6333333333333333,0.6767676767676768
Feliciano_Lopez,Rafael_Nadal,0.16666666666666666,0.6774193548387096,0.3225806451612903,0.8333333333333334
Radek_Stepanek,Nikolay_Davydenko,0.39080459770114945,0.4891304347826087,0.5108695652173914,0.6091954022988506
Jo_Wilfried_Tsonga,Mikhail_Youzhny,0.42,0.2631578947368421,0.7368421052631579,0.58
Fernando_Gonzalez,Nikolay_Davydenko,0.19148936170212766,0.4057971014492754,0.5942028985507246,0.8085106382978723
Novak_Djokovic,Marin_Cilic,0.48484848484848486,0.4027777777777778,0.5972222222222222,0.5151515151515151
Marat_Safin,Fernando_Gonzalez,0.3620689655172414,0.21818181818181817,0.7818181818181819,0.6379310344827587
Gilles_Simon,Viktor_Troicki,0.421875,0.2711864406779661,0.7288135593220338,0.578125
Roger_Federer,Juan_Martin_Del_Potro,0.3333333333333333,0.36464088397790057,0.6353591160220995,0.6666666666666666
Novak_Djokovic,Roger_Federer,0.29357798165137616,0.3652173913043478,0.6347826086956522,0.7064220183486238
Juan_Martin_Del_Potro,Rafael_Nadal,0.4888888888888889,0.3411764705882353,0.6588235294117647,0.5111111111111111
Juan_Martin_Del_Potro,Marin_Cilic,0.45714285714285713,0.3191489361702128,0.6808510638297872,0.5428571428571428
Roger_Federer,Robin_Soderling,0.36220472440944884,0.2421875,0.7578125,0.6377952755905512
Fernando_Verdasco,Novak_Djokovic,0.35507246376811596,0.39669421487603307,0.6033057851239669,0.644927536231884
Jo_Wilfried_Tsonga,Fernando_Gonzalez,0.28888888888888886,0.33070866141732286,0.6692913385826772,0.7111111111111111
Roger_Federer,Lleyton_Hewitt,0.37272727272727274,0.35074626865671643,0.6492537313432836,0.6272727272727273
Andy_Roddick,John_Isner,0.26993865030674846,0.23376623376623376,0.7662337662337663,0.7300613496932515
Roger_Federer,Devin_Britton,0.51,0.2753623188405797,0.7246376811594203,0.49
Fernando_Gonzalez,Nicolas_Massu,0.5145631067961165,0.325,0.675,0.4854368932038835
Andy_Roddick,Bjorn_Phau,0.4868421052631579,0.2318840579710145,0.7681159420289855,0.5131578947368421
Roger_Federer,Andy_Murray,0.34285714285714286,0.24193548387096775,0.7580645161290323,0.6571428571428571
Novak_Djokovic,Rafael_Nadal,0.44642857142857145,0.3090909090909091,0.6909090909090909,0.5535714285714286
Roger_Federer,Lleyton_Hewitt,0.4153846153846154,0.21568627450980393,0.7843137254901961,0.5846153846153846
Roger_Federer,Novak_Djokovic,0.48148148148148145,0.2833333333333333,0.7166666666666667,0.5185185185185185
Andy_Roddick,Juan_Martin_Del_Potro,0.28735632183908044,0.35294117647058826,0.6470588235294118,0.7126436781609196
Andy_Murray,Jo_Wilfried_Tsonga,0.35064935064935066,0.29577464788732394,0.704225352112676,0.6493506493506493
Andy_Roddick,Juan_Martin_Del_Potro,0.3118279569892473,0.34951456310679613,0.6504854368932039,0.6881720430107527
Paul_Henri_Mathieu,Nikolay_Davydenko,0.36,0.5161290322580645,0.4838709677419355,0.64
Andy_Roddick,Roger_Federer,0.2131979695431472,0.28451882845188287,0.7154811715481172,0.7868020304568528
Tommy_Haas,Roger_Federer,0.13253012048192772,0.36363636363636365,0.6363636363636364,0.8674698795180723
Andy_Roddick,Andy_Murray,0.3150684931506849,0.2971014492753623,0.7028985507246377,0.684931506849315
Roger_Federer,Ivo_Karlovic,0.25609756097560976,0.12941176470588237,0.8705882352941177,0.7439024390243902
Novak_Djokovic,Tommy_Haas,0.27419354838709675,0.3064516129032258,0.6935483870967742,0.7258064516129032
Andy_Roddick,Lleyton_Hewitt,0.3489583333333333,0.296969696969697,0.703030303030303,0.6510416666666666
Robin_Soderling,Roger_Federer,0.20588235294117646,0.22448979591836735,0.7755102040816326,0.7941176470588235
Robin_Soderling,Roger_Federer,0.21518987341772153,0.3956043956043956,0.6043956043956044,0.7848101265822784
Roger_Federer,Juan_Martin_Del_Potro,0.39285714285714285,0.34507042253521125,0.6549295774647887,0.6071428571428571
Roger_Federer,Gael_Monfils,0.40384615384615385,0.26595744680851063,0.7340425531914894,0.5961538461538461
Fernando_Gonzalez,Andy_Murray,0.41836734693877553,0.2808988764044944,0.7191011235955056,0.5816326530612245
Roger_Federer,Tommy_Haas,0.3724137931034483,0.23846153846153847,0.7615384615384615,0.6275862068965518
Juan_Martin_Del_Potro,Jo_Wilfried_Tsonga,0.415929203539823,0.22,0.78,0.584070796460177
Andy_Roddick,Gael_Monfils,0.3132530120481928,0.4588235294117647,0.5411764705882353,0.6867469879518072
Victor_Hanescu,Fernando_Gonzalez,0.208955223880597,0.4266666666666667,0.5733333333333334,0.7910447761194029
Robin_Soderling,Rafael_Nadal,0.3828125,0.34265734265734266,0.6573426573426573,0.6171875
Rafael_Nadal,Roger_Federer,0.31343283582089554,0.3148148148148148,0.6851851851851852,0.6865671641791045
Roger_Federer,Juan_Martin_Del_Potro,0.3898305084745763,0.2833333333333333,0.7166666666666667,0.6101694915254238
Novak_Djokovic,Rafael_Nadal,0.3383458646616541,0.2857142857142857,0.7142857142857143,0.6616541353383458
Novak_Djokovic,Lukasz_Kubot,0.45901639344262296,0.3333333333333333,0.6666666666666666,0.5409836065573771
Novak_Djokovic,Rafael_Nadal,0.35714285714285715,0.45454545454545453,0.5454545454545454,0.6428571428571429
Novak_Djokovic,Roger_Federer,0.43209876543209874,0.4,0.6,0.5679012345679012
Fernando_Gonzalez,Rafael_Nadal,0.2826086956521739,0.45098039215686275,0.5490196078431373,0.717391304347826
Novak_Djokovic,Juan_Martin_Del_Potro,0.43636363636363634,0.34375,0.65625,0.5636363636363636
Roger_Federer,Stan_Wawrinka,0.35064935064935066,0.4117647058823529,0.5882352941176471,0.6493506493506493
Novak_Djokovic,Rafael_Nadal,0.4367816091954023,0.5287356321839081,0.47126436781609193,0.5632183908045977
Wayne_Odesnik,Lleyton_Hewitt,0.38596491228070173,0.5308641975308642,0.4691358024691358,0.6140350877192983
Florent_Serra,Juan_Carlos_Ferrero,0.423728813559322,0.5,0.5,0.576271186440678
Novak_Djokovic,Andy_Murray,0.3442622950819672,0.5068493150684932,0.4931506849315068,0.6557377049180327
Roger_Federer,Novak_Djokovic,0.3561643835616438,0.4875,0.5125,0.6438356164383562
Andy_Murray,Juan_Martin_Del_Potro,0.43023255813953487,0.2972972972972973,0.7027027027027027,0.5697674418604651
Rafael_Nadal,Juan_Martin_Del_Potro,0.3917525773195876,0.3883495145631068,0.6116504854368932,0.6082474226804123
Rafael_Nadal,Andy_Murray,0.5,0.2558139534883721,0.7441860465116279,0.5
Roger_Federer,Andy_Murray,0.34146341463414637,0.43243243243243246,0.5675675675675675,0.6585365853658537
Andy_Roddick,Rafael_Nadal,0.3466666666666667,0.36363636363636365,0.6363636363636364,0.6533333333333333
Novak_Djokovic,David_Ferrer,0.4745762711864407,0.38095238095238093,0.6190476190476191,0.5254237288135594
Andy_Roddick,Radek_Stepanek,0.3582089552238806,0.358974358974359,0.6410256410256411,0.6417910447761194
Andy_Roddick,Lleyton_Hewitt,0.29473684210526313,0.32038834951456313,0.6796116504854369,0.7052631578947368
Roger_Federer,Rafael_Nadal,0.4057142857142857,0.4011627906976744,0.5988372093023255,0.5942857142857143
Fernando_Verdasco,Rafael_Nadal,0.3063583815028902,0.3443396226415094,0.6556603773584906,0.6936416184971098
Andy_Roddick,Roger_Federer,0.2604166666666667,0.3617021276595745,0.6382978723404256,0.7395833333333334
Roger_Federer,Juan_Martin_Del_Potro,0.5909090909090909,0.15384615384615385,0.8461538461538461,0.4090909090909091
Gilles_Simon,Rafael_Nadal,0.3191489361702128,0.43617021276595747,0.5638297872340425,0.6808510638297872
Andy_Roddick,Novak_Djokovic,0.4260869565217391,0.25287356321839083,0.7471264367816092,0.5739130434782609
Roger_Federer,Tomas_Berdych,0.39072847682119205,0.3710691823899371,0.6289308176100629,0.609271523178808
Fernando_Verdasco,Andy_Murray,0.4,0.39097744360902253,0.6090225563909775,0.6
Tommy_Haas,Rafael_Nadal,0.1935483870967742,0.4897959183673469,0.5102040816326531,0.8064516129032258
Richard_Gasquet,Fernando_Gonzalez,0.35467980295566504,0.33519553072625696,0.664804469273743,0.645320197044335
Roger_Federer,Marat_Safin,0.38636363636363635,0.23595505617977527,0.7640449438202247,0.6136363636363636
Andy_Roddick,Andy_Murray,0.26,0.4,0.6,0.74
Roger_Federer,Andy_Murray,0.26436781609195403,0.3684210526315789,0.631578947368421,0.735632183908046
Novak_Djokovic,Nikolay_Davydenko,0.5,0.2909090909090909,0.7090909090909091,0.5
Novak_Djokovic,Gilles_Simon,0.3944954128440367,0.33962264150943394,0.660377358490566,0.6055045871559633
Andy_Murray,Nikolay_Davydenko,0.2982456140350877,0.44285714285714284,0.5571428571428572,0.7017543859649122
Roger_Federer,Andy_Murray,0.41964285714285715,0.4580152671755725,0.5419847328244275,0.5803571428571429
Nikolay_Davydenko,Juan_Martin_Del_Potro,0.509090909090909,0.2391304347826087,0.7608695652173914,0.4909090909090909
Novak_Djokovic,Nikolay_Davydenko,0.3103448275862069,0.3409090909090909,0.6590909090909091,0.6896551724137931
Andy_Roddick,Andy_Murray,0.3472222222222222,0.3582089552238806,0.6417910447761194,0.6527777777777778
Jo_Wilfried_Tsonga,Nikolay_Davydenko,0.27450980392156865,0.39669421487603307,0.6033057851239669,0.7254901960784313
Jo_Wilfried_Tsonga,David_Nalbandian,0.3522727272727273,0.30337078651685395,0.6966292134831461,0.6477272727272727
James_Blake,Jo_Wilfried_Tsonga,0.18181818181818182,0.4264705882352941,0.5735294117647058,0.8181818181818182
David_Nalbandian,Nikolay_Davydenko,0.3924050632911392,0.3176470588235294,0.6823529411764706,0.6075949367088608
Marat_Safin,Nikolay_Davydenko,0.3669724770642202,0.3584905660377358,0.6415094339622641,0.6330275229357798
Andy_Murray,Andrey_Golubev,0.5714285714285714,0.2682926829268293,0.7317073170731707,0.42857142857142855
Roger_Federer,David_Nalbandian,0.39344262295081966,0.14893617021276595,0.851063829787234,0.6065573770491803
Roger_Federer,Feliciano_Lopez,0.4423076923076923,0.25925925925925924,0.7407407407407407,0.5576923076923077
Roger_Federer,Bobby_Reynolds,0.3263157894736842,0.23595505617977527,0.7640449438202247,0.6736842105263158
Gilles_Simon,Andy_Murray,0.2727272727272727,0.36,0.64,0.7272727272727273
Roger_Federer,Andy_Murray,0.27906976744186046,0.3469387755102041,0.6530612244897959,0.7209302325581395
Gilles_Simon,Rafael_Nadal,0.37254901960784315,0.4217687074829932,0.5782312925170068,0.6274509803921569
Robin_Soderling,David_Nalbandian,0.2876712328767123,0.4,0.6,0.7123287671232876
Tomas_Berdych,Juan_Martin_Del_Potro,0.4423076923076923,0.24074074074074073,0.7592592592592593,0.5576923076923077
Jo_Wilfried_Tsonga,Novak_Djokovic,0.35714285714285715,0.30434782608695654,0.6956521739130435,0.6428571428571429
Roger_Federer,Andy_Murray,0.5061728395061729,0.345679012345679,0.654320987654321,0.49382716049382713
Rafael_Nadal,Andy_Murray,0.26851851851851855,0.41916167664670656,0.5808383233532934,0.7314814814814815
Roger_Federer,Gilles_Muller,0.30578512396694213,0.22330097087378642,0.7766990291262136,0.6942148760330579
Roger_Federer,Igor_Andreev,0.3333333333333333,0.30357142857142855,0.6964285714285714,0.6666666666666666
James_Blake,Mardy_Fish,0.32653061224489793,0.39603960396039606,0.6039603960396039,0.673469387755102
Rafael_Nadal,Fernando_Gonzalez,0.40186915887850466,0.20689655172413793,0.7931034482758621,0.5981308411214953
Novak_Djokovic,James_Blake,0.3,0.19047619047619047,0.8095238095238095,0.7
Novak_Djokovic,Rafael_Nadal,0.37333333333333335,0.36470588235294116,0.6352941176470588,0.6266666666666667
James_Blake,Fernando_Gonzalez,0.3333333333333333,0.3308270676691729,0.6691729323308271,0.6666666666666666
Novak_Djokovic,Gael_Monfils,0.42168674698795183,0.37,0.63,0.5783132530120482
Rafael_Arevalo,Roger_Federer,0.2127659574468085,0.423728813559322,0.576271186440678,0.7872340425531915
Andy_Roddick,Juan_Martin_Del_Potro,0.23214285714285715,0.40625,0.59375,0.7678571428571429
Novak_Djokovic,Andy_Murray,0.3409090909090909,0.40625,0.59375,0.6590909090909091
Novak_Djokovic,Rafael_Nadal,0.37777777777777777,0.2631578947368421,0.7368421052631579,0.6222222222222222
Ivo_Karlovic,Andy_Murray,0.2830188679245283,0.4507042253521127,0.5492957746478874,0.7169811320754716
Nicolas_Kiefer,Rafael_Nadal,0.2692307692307692,0.45098039215686275,0.5490196078431373,0.7307692307692307
Gilles_Simon,Nicolas_Kiefer,0.35537190082644626,0.3584905660377358,0.6415094339622641,0.6446280991735537
Andy_Murray,Rafael_Nadal,0.35714285714285715,0.3770491803278688,0.6229508196721312,0.6428571428571429
Frank_Dancevic,Mario_Ancic,0.4375,0.3148148148148148,0.6851851851851852,0.5625
Jurgen_Melzer,Juan_Martin_Del_Potro,0.17142857142857143,0.5294117647058824,0.47058823529411764,0.8285714285714286
Richard_Gasquet,Juan_Martin_Del_Potro,0.2641509433962264,0.42028985507246375,0.5797101449275363,0.7358490566037735
Roger_Federer,Rafael_Nadal,0.3348623853211009,0.3282051282051282,0.6717948717948717,0.6651376146788991
Roger_Federer,Marat_Safin,0.3225806451612903,0.2222222222222222,0.7777777777777778,0.6774193548387096
Rainer_Schuettler,Rafael_Nadal,0.21333333333333335,0.4157303370786517,0.5842696629213483,0.7866666666666666
Roger_Federer,Mario_Ancic,0.3894736842105263,0.14084507042253522,0.8591549295774648,0.6105263157894737
Rafael_Nadal,Andy_Murray,0.46153846153846156,0.15151515151515152,0.8484848484848485,0.5384615384615384
Stan_Wawrinka,Marat_Safin,0.3492063492063492,0.4649122807017544,0.5350877192982456,0.6507936507936508
Roger_Federer,Lleyton_Hewitt,0.3333333333333333,0.2755102040816326,0.7244897959183674,0.6666666666666666
Richard_Gasquet,Andy_Murray,0.35294117647058826,0.3776595744680851,0.6223404255319149,0.6470588235294118
Roger_Federer,Marc_Gicquel,0.4878048780487805,0.23529411764705882,0.7647058823529411,0.5121951219512195
Novak_Djokovic,Marat_Safin,0.28421052631578947,0.4020618556701031,0.5979381443298969,0.7157894736842105
Novak_Djokovic,Rafael_Nadal,0.3902439024390244,0.4222222222222222,0.5777777777777777,0.6097560975609756
Roger_Federer,Philipp_Kohlschreiber,0.38461538461538464,0.19607843137254902,0.803921568627451,0.6153846153846154
Andy_Roddick,Rafael_Nadal,0.22950819672131148,0.3380281690140845,0.6619718309859155,0.7704918032786885
Roger_Federer,Rafael_Nadal,0.2923076923076923,0.5974025974025974,0.4025974025974026,0.7076923076923077
Novak_Djokovic,Rafael_Nadal,0.32653061224489793,0.42,0.58,0.673469387755102
Gael_Monfils,Roger_Federer,0.3602941176470588,0.436241610738255,0.5637583892617449,0.6397058823529411
Roger_Federer,Fernando_Gonzalez,0.3977272727272727,0.28421052631578947,0.7157894736842105,0.6022727272727273
Roger_Federer,Mario_Ancic,0.4533333333333333,0.2112676056338028,0.7887323943661971,0.5466666666666666
Rafael_Nadal,Nicolas_Devilder,0.5652173913043478,0.32432432432432434,0.6756756756756757,0.43478260869565216
Roger_Federer,Andreas_Seppi,0.4794520547945205,0.2826086956521739,0.717391304347826,0.5205479452054794
Novak_Djokovic,Rafael_Nadal,0.44545454545454544,0.46236559139784944,0.5376344086021505,0.5545454545454546
Novak_Djokovic,Stan_Wawrinka,0.367816091954023,0.22535211267605634,0.7746478873239436,0.632183908045977
Roger_Federer,Rafael_Nadal,0.4158415841584158,0.4576271186440678,0.5423728813559322,0.5841584158415841
Novak_Djokovic,Radek_Stepanek,0.75,0.15789473684210525,0.8421052631578947,0.25
Nikolay_Davydenko,Rafael_Nadal,0.37037037037037035,0.55,0.45,0.6296296296296297
Roger_Federer,Ruben_Ramirez_Hidalgo,0.44554455445544555,0.3695652173913043,0.6304347826086957,0.5544554455445545
Rafael_Nadal,Roger_Federer,0.52,0.4126984126984127,0.5873015873015873,0.48
Nikolay_Davydenko,Roger_Federer,0.3620689655172414,0.33962264150943394,0.660377358490566,0.6379310344827587
Roger_Federer,Novak_Djokovic,0.4838709677419355,0.3333333333333333,0.6666666666666666,0.5161290322580645
Roger_Federer,Denis_Gremelmayr,0.4444444444444444,0.3150684931506849,0.684931506849315,0.5555555555555556
Novak_Djokovic,Rafael_Nadal,0.49019607843137253,0.28,0.72,0.5098039215686274
Mardy_Fish,Roger_Federer,0.4339622641509434,0.26,0.74,0.5660377358490566
Andy_Roddick,Feliciano_Lopez,0.3368421052631579,0.18292682926829268,0.8170731707317073,0.6631578947368421
Igor_Andreev,Novak_Djokovic,0.23684210526315788,0.5681818181818182,0.4318181818181818,0.7631578947368421
Roger_Federer,Andy_Murray,0.23958333333333334,0.29545454545454547,0.7045454545454546,0.7604166666666666
Novak_Djokovic,Roger_Federer,0.38095238095238093,0.336283185840708,0.6637168141592921,0.6190476190476191
Jo_Wilfried_Tsonga,Rafael_Nadal,0.45714285714285713,0.25,0.75,0.5428571428571428
Roger_Federer,James_Blake,0.41379310344827586,0.3020833333333333,0.6979166666666666,0.5862068965517241
Jo_Wilfried_Tsonga,Mikhail_Youzhny,0.41509433962264153,0.23255813953488372,0.7674418604651163,0.5849056603773585
Jarkko_Nieminen,Rafael_Nadal,0.33695652173913043,0.45054945054945056,0.5494505494505495,0.6630434782608695
Tomas_Berdych,Roger_Federer,0.2608695652173913,0.35106382978723405,0.648936170212766,0.7391304347826086
Richard_Gasquet,Jo_Wilfried_Tsonga,0.2835820895522388,0.3841059602649007,0.6158940397350994,0.7164179104477612
Roger_Federer,Janko_Tipsarevic,0.357487922705314,0.23809523809523808,0.7619047619047619,0.642512077294686
Lleyton_Hewitt,Marcos_Baghdatis,0.41262135922330095,0.35714285714285715,0.6428571428571429,0.587378640776699
Roger_Federer,Fabrice_Santoro,0.5797101449275363,0.22950819672131148,0.7704918032786885,0.42028985507246375
Marat_Safin,Marcos_Baghdatis,0.34328358208955223,0.37333333333333335,0.6266666666666667,0.6567164179104478
Novak_Djokovic,Benjamin_Becker,0.5,0.3037974683544304,0.6962025316455697,0.5
Mikhail_Youzhny,Rafael_Nadal,0.625,0.15151515151515152,0.8484848484848485,0.375
